symbol,name,exchange,last_close,last_volume
BAFN,BayFirst Financial Corp. - Common Stock,NASDAQ,6.235000133514404,25301.0
BAK,Braskem SA ADR,NYSE,2.259999990463257,1256271.0
BALY,Bally's Corporation Common Stock,NYSE,14.010000228881836,45598.0
BANL,CBL International Limited - Class B Ordinary Shares,NASDAQ,3.940000057220459,126596.0
BAOS,Baosheng Media Group Holdings Limited - Ordinary shares,NASDAQ,0.5770000219345093,38304.0
BARK,"BARK, Inc. Class A Common Stock",NYSE,9.289999961853027,25241.0
BB,BlackBerry Limited Common Stock,NYSE,8.729999542236328,9357854.0
BBAI,"BigBear.ai, Inc. Common Stock",NYSE,3.0299999713897705,18466764.0
BBBY,"Bed Bath & Beyond, Inc. Common Stock",NYSE,4.619999885559082,8625109.0
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",NASDAQ,9.739999771118164,122519.0
BBCQ,Bleichroeder Acquisition Corp. II - Class A Ordinary Shares,NASDAQ,10.210000038146973,22234.0
BBDC,"Barings BDC, Inc. Common Stock",NYSE,8.420000076293945,644541.0
BBLG,Bone Biologics Corp - Common Stock,NASDAQ,0.9800000190734863,44857.0
BBNX,"Beta Bionics, Inc. - Common Stock",NASDAQ,13.90999984741211,896535.0
BBOT,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",NASDAQ,8.960000038146973,146173.0
BCAB,"BioAtla, Inc. - Common Stock",NASDAQ,3.325000047683716,44455.0
BCAR,D. Boral ARC Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,4.400000095367432,54825.0
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",NASDAQ,8.760000228881836,344977.0
BCDA,"BioCardia, Inc. - Common Stock",NASDAQ,0.949999988079071,805312.0
BCG,"Binah Capital Group, Inc. - Common Stock",NASDAQ,1.4800000190734863,7597.0
BCRX,"BioCryst Pharmaceuticals, Inc. - Common Stock",NASDAQ,9.069999694824219,6050802.0
BCSF,"Bain Capital Specialty Finance, Inc. Common Stock",NYSE,12.680000305175781,220633.0
BCSS,Bain Capital GSS Investment Corp. Class A Ordinary Shares,NYSE,10.210000038146973,41061.0
BCTX,BriaCell Therapeutics Corp. - Common Shares,NASDAQ,3.5,208645.0
BCX,BlackRock Resources Common Shares of Beneficial Interest,NYSE,11.989999771118164,114678.0
BDCI,BTC Development Corp. - Class A Ordinary Shares,NASDAQ,10.09000015258789,5900.0
BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,9.8100004196167,432996.0
BDMD,Baird Medical Investment Holdings Ltd - Ordinary Share,NASDAQ,1.0700000524520874,24066.0
BDN,Brandywine Realty Trust Common Stock,NYSE,3.200000047683716,2069961.0
BDTX,"Black Diamond Therapeutics, Inc. - Common Stock",NASDAQ,1.7899999618530273,383357.0
BEAG,Bold Eagle Acquisition Corp. - Class A Ordinary Shares,NASDAQ,10.670000076293945,3200.0
BEAT,"Heartbeam, Inc. - Common Stock",NASDAQ,0.49869999289512634,382641.0
BEBE,TGE Value Creative Solutions Corp Class A Ordinary Shares,NYSE,9.979999542236328,0.0
BEEM,Beam Global - Common Stock,NASDAQ,1.1200000047683716,288092.0
BEEP,Mobile Infrastructure Corporation - Common Stock,NASDAQ,2.0999999046325684,260962.0
BENF,Beneficient - Class A Common Stock,NASDAQ,3.140000104904175,7486.0
BFLY,"Butterfly Network, Inc. Class A Common Stock",NYSE,8.420000076293945,5070354.0
BFRG,"Bullfrog AI Holdings, Inc. - Common Stock",NASDAQ,0.6209999918937683,132981.0
BFRI,Biofrontera Inc. - Common Stock,NASDAQ,1.2400000095367432,150664.0
BGC,"BGC Group, Inc. - Class A Common Stock",NASDAQ,10.960000038146973,2169466.0
BGDE,"Big Digital Energy, Inc. - Common Stock",NASDAQ,6.074999809265137,26448.0
BGIN,Bgin Blockchain Limited - Class A Ordinary Shares,NASDAQ,1.7000000476837158,2140.0
BGL,Blue Gold Limited - Class A ordinary shares,NASDAQ,0.18310000002384186,1056165.0
BGLC,BioNexus Gene Lab Corp - Common stock,NASDAQ,1.5399999618530273,4048.0
BGM,BGM Group Ltd. - Class A Ordinary Shares,NASDAQ,0.2971000075340271,53096.0
BGMS,"Bio Green Med Solution, Inc. - Common Stock",NASDAQ,1.0399999618530273,91417.0
