ticker,yf_bars,al_bars,bar_coverage,vol_coverage,matched_bars,close_mae_bps
AMTX,5261,2091,0.3267439650256605,0.0725821552676975,1719,16.379335396289857
DUOT,5439,1876,0.314396028681743,0.07263391455931383,1710,13.208050489324272
GITS,403,17,0.022332506203473945,0.07301371296974772,9,138.42646062051435
EVTL,7668,3158,0.4118414188836724,0.07307688055042862,3158,15.061222169251959
QTI,421,69,0.1330166270783848,0.0735390836236085,56,45.72618155517183
PETS,1306,245,0.14241960183767227,0.07374814822204376,186,12.27185063879077
LUNG,2894,1393,0.3724948168624741,0.07388895200001006,1078,23.755923106535434
SIDU,8057,4151,0.5114807000124115,0.07390234636467247,4121,16.086385155099816
PWCM,1122,249,0.07308377896613191,0.07447010369113659,82,70.04894157812296
MNOV,472,40,0.059322033898305086,0.07480001295462642,28,27.01833282474856
ANVS,4784,1435,0.29974916387959866,0.07483647315915985,1434,9.825237678414798
DOMH,1087,159,0.10119595216191353,0.07574340751823452,110,32.784901342491864
FNUC,2464,516,0.1643668831168831,0.07627862150389991,405,20.50967386592224
NNBR,6536,3732,0.5298347613219094,0.07653080944046153,3463,12.285565498699665
CSTE,1294,326,0.18624420401854713,0.07691341005146773,241,31.95887121591671
BRR,4157,1863,0.36468607168631223,0.0775801802180811,1516,21.874620577274595
UFG,527,26,0.03795066413662239,0.07783326817105467,20,54.00134817283121
ISPR,1133,189,0.1297440423654016,0.07837013210213409,147,63.20949569607593
PRPL,1303,66,0.03607060629316961,0.08040089187998674,47,50.26583296732716
ISPC,796,68,0.05778894472361809,0.08047123409116096,46,38.80039210941259
VLN,6193,1870,0.3019538188277087,0.08089861849007855,1870,9.68421344385132
HTCR,530,50,0.07735849056603773,0.0810648861496319,41,107.61759894041157
WCT,872,62,0.0481651376146789,0.08127198644365033,42,104.306304208087
PRLD,3633,1077,0.22873658133773742,0.08276150003819209,831,17.805760701373263
EVEX,6505,2118,0.3255956956187548,0.08282075756357082,2118,8.54898549261783
MNDR,797,29,0.028858218318695106,0.08295169077131426,23,84.17297443814354
SINT,493,45,0.06288032454361055,0.08324145077720208,31,40.80483481766039
EEIQ,219,18,0.0593607305936073,0.08387120300477702,13,158.30620668328095
SXTP,667,48,0.05997001499250375,0.08463990351481737,40,92.94066787511045
OCG,1292,51,0.033281733746130034,0.08482392347602857,43,74.76857189977608
PRQR,4217,1717,0.31965852501778513,0.0859679654421954,1348,17.51314569019914
